Store,Transactions,Items,TotalSales,TotalTax
Mint Kalamazoo,115,423,5011.12,709.19
Mint Spring Valley,91,244,4274.37,660.58
Mint St. Peters,265,708,17974.88,2536.59
Mint Mesa ,622,1455,26194.47,4791.52
Mint Jacksonville,27,74,1485.85,0.00
Mint Delray Beach,21,65,1541.75,0.00
Mint Sarasota,48,265,4224.95,0.00
Mint Stuart,28,96,2064.75,0.00
Mint Bonita Springs ,14,48,1098.00,0.00
Mint Bradenton,18,71,1191.09,0.00
Mint Miami,14,33,684.05,0.00
Mint Orlando ,25,72,1526.80,0.00
Mint Bell Road Phoenix,519,1254,37913.52,4482.66
Mint Portage,209,972,9364.86,1324.90
Mint 75th Ave Phoenix,350,921,15988.30,3028.93
Mint Roseville,172,572,6859.09,974.50
Mint Buckeye/Verado,863,1939,40405.12,7318.65
Mint Cape Coral,22,81,1676.25,0.00
Mint El Mirage,225,569,31022.15,2172.22
Mint Las Vegas Strip ,368,842,15537.54,2394.95
Mint Longwood,24,59,1337.75,0.00
Mint Melbourne,50,160,3322.35,0.00
Mint Scottsdale,481,1345,27106.05,4838.97
Mint Willowbrook,127,269,8376.27,1803.66
Mint Brandon,29,81,1548.70,0.00
Mint Coldwater,110,537,7025.64,997.69
Mint Gainesville,23,63,1339.05,0.00
Mint Northern Phoenix,508,1171,20280.30,3917.88
Mint St. Augustine,47,142,3919.94,0.00
Mint Monroe,194,906,8794.93,1249.72
Mint New Buffalo,59,480,5039.42,715.82
Mint Tempe,1246,2676,52814.78,10949.35