Branch	Store Name	Hour (UTC)	Sales	Transactions	Discounts	Tax	Returns	Net Sales
AZD-4245IN	Mint Mesa 	0	3899.00	59	1502.20	543.68	0.00	2396.80
AZD-4245IN	Mint Mesa 	1	3414.98	58	1351.10	414.95	0.00	2063.88
AZD-4245IN	Mint Mesa 	2	5834.00	80	2175.85	833.13	0.00	3658.15
AZD-4245IN	Mint Mesa 	3	4696.00	75	1790.30	671.39	0.00	2905.70
AZD-4245IN	Mint Mesa 	4	4318.00	69	1933.30	552.64	0.00	2384.70
AZD-4245IN	Mint Mesa 	5	3510.00	67	1415.86	488.39	0.00	2094.14
AZD-4245IN	Mint Mesa 	6	139.00	3	57.00	19.93	0.00	82.00
AZD-4245IN	Mint Mesa 	7	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	8	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	9	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	10	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	11	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	12	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	13	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	14	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	15	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	16	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	17	2289.00	38	886.70	291.99	0.00	1402.30
AZD-4245IN	Mint Mesa 	18	2868.00	38	1054.00	404.65	0.00	1814.00
AZD-4245IN	Mint Mesa 	19	2767.00	43	1097.20	336.69	0.00	1669.80
AZD-4245IN	Mint Mesa 	20	2802.00	49	1010.30	423.78	0.00	1791.70
AZD-4245IN	Mint Mesa 	21	3810.00	68	1167.15	628.33	0.00	2642.85
AZD-4245IN	Mint Mesa 	22	2712.00	48	1041.80	373.55	0.00	1670.20
AZD-4245IN	Mint Mesa 	23	3268.00	61	1274.16	433.94	0.00	1993.84