Branch	Store Name	Date	Hour (UTC)	Sales	Transactions	Discounts	Tax	Returns	Net Sales
AZD-4245IN	Mint Mesa 	2026-01-11	0	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	2026-01-11	1	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	2026-01-11	2	5834.00	80	2175.85	833.13	0.00	3658.15
AZD-4245IN	Mint Mesa 	2026-01-11	3	4696.00	75	1790.30	671.39	0.00	2905.70
AZD-4245IN	Mint Mesa 	2026-01-11	4	4318.00	69	1933.30	552.64	0.00	2384.70
AZD-4245IN	Mint Mesa 	2026-01-11	5	3510.00	67	1415.86	488.39	0.00	2094.14
AZD-4245IN	Mint Mesa 	2026-01-11	6	139.00	3	57.00	19.93	0.00	82.00
AZD-4245IN	Mint Mesa 	2026-01-11	7	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	2026-01-11	8	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	2026-01-11	9	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	2026-01-11	10	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	2026-01-11	11	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	2026-01-11	12	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	2026-01-11	13	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	2026-01-11	14	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	2026-01-11	15	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	2026-01-11	16	0.00	0	0.00	0.00	0.00	0.00
AZD-4245IN	Mint Mesa 	2026-01-11	17	2289.00	38	886.70	291.99	0.00	1402.30
AZD-4245IN	Mint Mesa 	2026-01-11	18	2868.00	38	1054.00	404.65	0.00	1814.00
AZD-4245IN	Mint Mesa 	2026-01-11	19	2767.00	43	1097.20	336.69	0.00	1669.80
AZD-4245IN	Mint Mesa 	2026-01-11	20	2802.00	49	1010.30	423.78	0.00	1791.70
AZD-4245IN	Mint Mesa 	2026-01-11	21	3810.00	68	1167.15	628.33	0.00	2642.85
AZD-4245IN	Mint Mesa 	2026-01-11	22	2712.00	48	1041.80	373.55	0.00	1670.20
AZD-4245IN	Mint Mesa 	2026-01-11	23	3268.00	61	1274.16	433.94	0.00	1993.84